channelId	status	streamId	title	url_or_note
18	HTTP_404			https://api.itv.uz/v2/cards/channels/show?channelId=18
32	HTTP_404			https://api.itv.uz/v2/cards/channels/show?channelId=32
38	HTTP_404			https://api.itv.uz/v2/cards/channels/show?channelId=38
37	HTTP_404			https://api.itv.uz/v2/cards/channels/show?channelId=37
35	HTTP_404			https://api.itv.uz/v2/cards/channels/show?channelId=35
52	HTTP_404			https://api.itv.uz/v2/cards/channels/show?channelId=52
75	HTTP_404			https://api.itv.uz/v2/cards/channels/show?channelId=75
22	HTTP_404			https://api.itv.uz/v2/cards/channels/show?channelId=22
133	HTTP_404			https://api.itv.uz/v2/cards/channels/show?channelId=133
14	HTTP_404			https://api.itv.uz/v2/cards/channels/show?channelId=14
30	HTTP_404			https://api.itv.uz/v2/cards/channels/show?channelId=30
135	HTTP_404			https://api.itv.uz/v2/cards/channels/show?channelId=135
156	HTTP_404			https://api.itv.uz/v2/cards/channels/show?channelId=156
150	HTTP_404			https://api.itv.uz/v2/cards/channels/show?channelId=150
148	HTTP_404			https://api.itv.uz/v2/cards/channels/show?channelId=148
218	HTTP_404			https://api.itv.uz/v2/cards/channels/show?channelId=218
220	HTTP_404			https://api.itv.uz/v2/cards/channels/show?channelId=220
231	HTTP_404			https://api.itv.uz/v2/cards/channels/show?channelId=231
234	HTTP_404			https://api.itv.uz/v2/cards/channels/show?channelId=234
293	HTTP_404			https://api.itv.uz/v2/cards/channels/show?channelId=293
292	HTTP_404			https://api.itv.uz/v2/cards/channels/show?channelId=292
262	OK	1472	Тайны Галактики HD	https://iptv.itv.uz/hls/live/t/EoIR63UH91d5EOhjc9dY5A/e/1776076995/1472/index.m3u8?ip=172.174.165.1
132	HTTP_404			https://api.itv.uz/v2/cards/channels/show?channelId=132
84	OK	2001	Nostalgie FM 104.4	https://iptv.itv.uz/hls/live/t/NOQ5ldG_YNge0HClcBmuUQ/e/1776076995/2001/index.m3u8?ip=172.174.165.1
13	OK	2002	Oriat Dono FM 106.5	https://iptv.itv.uz/hls/live/t/y_iVzVdo8AZnC3iLCMqnKA/e/1776076995/2002/index.m3u8?ip=172.174.165.1
20	OK	2003	Oriat FM 100.5	https://iptv.itv.uz/hls/live/t/rYrOBcHaiCjh4Ix30h5-Gg/e/1776076996/2003/index.m3u8?ip=172.174.165.1
121	OK	2004	Retro FM	https://iptv.itv.uz/hls/live/t/HHdw_58mR5I8WpbtAa1lsw/e/1776076996/2004/index.m3u8?ip=172.174.165.1
129	OK	2005	Classic FM	https://iptv.itv.uz/hls/live/t/_TN_GJoP5IrLG78VHWV7LA/e/1776076996/2005/index.m3u8?ip=172.174.165.1
56	OK	2006	HitFM FM 90.8	https://iptv.itv.uz/hls/live/t/Lc9RTWXMfL5vAvVOK9PXLg/e/1776076996/2006/index.m3u8?ip=172.174.165.1
23	OK	2007	Avto Radio FM 102.0	https://iptv.itv.uz/hls/live/t/rto31k6bERwJXoAYOnukuA/e/1776076996/2007/index.m3u8?ip=172.174.165.1
61	OK	2008	Радио Гранд FM 101.5	https://iptv.itv.uz/hls/live/t/sdDbXjjrBDlAXlhAJ_Pvzw/e/1776076997/2008/index.m3u8?ip=172.174.165.1
28	OK	2009	Maxima FM 105.4	https://iptv.itv.uz/hls/live/t/s8MNXsYgAog1cXuyaVs1Pg/e/1776076997/2009/index.m3u8?ip=172.174.165.1
83	OK	2010	Mahalla FM 107.8	https://iptv.itv.uz/hls/live/t/qanF6y5xob-OW6Q8rdFdIA/e/1776076997/2010/index.m3u8?ip=172.174.165.1
112	OK	2011	O'zbekiston FM 103.1	https://iptv.itv.uz/hls/live/t/xzaCxu-Yr3rQey5HDwm0Eg/e/1776076997/2011/index.m3u8?ip=172.174.165.1
130	OK	2012	O'zbekiston24 FM 87.9	https://iptv.itv.uz/hls/live/t/Qx1KwjBqUFy2pd-S2mmfuw/e/1776076997/2012/index.m3u8?ip=172.174.165.1
